x,y
3.937812948623035822e+02,1.777530317554643034e+03
3.963694915885142223e+02,1.773252322965301801e+03
3.989576883147248623e+02,1.768974328375960567e+03
4.015458850409355023e+02,1.764696333786619334e+03
4.041340817671461423e+02,1.760418339197278101e+03
4.067222784933567823e+02,1.756140344607936868e+03
4.093104752195674223e+02,1.751862350018595635e+03
4.118986719457780623e+02,1.747584355429254401e+03
4.144868686719887023e+02,1.743306360839913168e+03
4.170750653981993423e+02,1.739028366250571935e+03
4.196632621244099823e+02,1.734750371661230702e+03
4.222514588506206223e+02,1.730472377071889468e+03
4.248396555768312624e+02,1.726194382482548235e+03
4.274278523030419024e+02,1.721916387893207002e+03
4.300160490292525424e+02,1.717638393303865769e+03
4.326042457554631824e+02,1.713360398714524536e+03
4.351924424816738224e+02,1.709082404125183302e+03
4.377806392078844624e+02,1.704804409535842069e+03
4.403688359340951024e+02,1.700526414946500836e+03
1.974079322186693446e+02,1.698021545824964960e+03
2.013831107704106671e+02,1.701054358955010457e+03
2.053582893221519896e+02,1.704087172085055954e+03
2.093334678738933121e+02,1.707119985215101451e+03
2.133086464256346346e+02,1.710152798345146948e+03
2.172838249773759571e+02,1.713185611475192445e+03
2.212590035291172796e+02,1.716218424605237942e+03
2.252341820808586021e+02,1.719251237735283439e+03
2.292093606325999247e+02,1.722284050865328936e+03
2.331845391843412472e+02,1.725316863995374433e+03
2.371597177360825697e+02,1.728349677125419930e+03
2.411348962878238922e+02,1.731382490255465427e+03
2.451100748395652147e+02,1.734415303385510924e+03
2.490852533913065372e+02,1.737448116515556421e+03
2.530604319430478597e+02,1.740480929645601918e+03
2.570356104947891822e+02,1.743513742775647415e+03
2.610107890465305331e+02,1.746546555905692912e+03
2.649859675982718841e+02,1.749579369035738409e+03
2.689611461500132350e+02,1.752612182165783906e+03
2.729363247017545859e+02,1.755644995295829403e+03
2.769115032534959369e+02,1.758677808425874900e+03
2.808866818052372878e+02,1.761710621555920397e+03
2.848618603569786387e+02,1.764743434685965894e+03
2.888370389087199896e+02,1.767776247816011391e+03
2.928122174604613406e+02,1.770809060946056888e+03
2.967873960122026915e+02,1.773841874076102386e+03
3.007625745639440424e+02,1.776874687206147883e+03
3.047377531156853934e+02,1.779907500336193380e+03
3.087129316674267443e+02,1.782940313466238877e+03
3.126881102191680952e+02,1.785973126596284374e+03
3.166632887709094462e+02,1.789005939726329871e+03
3.206384673226507971e+02,1.792038752856375368e+03
3.246136458743921480e+02,1.795071565986420865e+03
3.285888244261334989e+02,1.798104379116466362e+03
3.325640029778748499e+02,1.801137192246511859e+03
3.365391815296162008e+02,1.804170005376557356e+03
3.405143600813575517e+02,1.807202818506602853e+03
3.444895386330989027e+02,1.810235631636648350e+03
3.484647171848402536e+02,1.813268444766693847e+03
3.524398957365816045e+02,1.816301257896739344e+03
3.564150742883229555e+02,1.819334071026784841e+03
3.603902528400643064e+02,1.822366884156830338e+03
3.643654313918056573e+02,1.825399697286875835e+03
3.683406099435470082e+02,1.828432510416921332e+03
3.723157884952883592e+02,1.831465323546966829e+03
3.762909670470297101e+02,1.834498136677012326e+03
3.802661455987710610e+02,1.837530949807057823e+03
3.842413241505124120e+02,1.840563762937103320e+03
3.882165027022537629e+02,1.843596576067148817e+03
3.921916812539951138e+02,1.846629389197194314e+03
1.454534737696624916e+03,1.073296765285506581e+03
1.449605902005614098e+03,1.074137347661611784e+03
1.444677066314603280e+03,1.074977930037716987e+03
1.439748230623592463e+03,1.075818512413822191e+03
1.434819394932581645e+03,1.076659094789927394e+03
1.429890559241570827e+03,1.077499677166032598e+03
1.424961723550560009e+03,1.078340259542137801e+03
1.420032887859549191e+03,1.079180841918243004e+03
1.415104052168538374e+03,1.080021424294348208e+03
1.410175216477527556e+03,1.080862006670453411e+03
1.405246380786516738e+03,1.081702589046558614e+03
1.400317545095505920e+03,1.082543171422663818e+03
1.395388709404495103e+03,1.083383753798769021e+03
1.390459873713484285e+03,1.084224336174874225e+03
1.385531038022473467e+03,1.085064918550979428e+03
1.380602202331462649e+03,1.085905500927084631e+03
1.375673366640451832e+03,1.086746083303189835e+03
1.370744530949441014e+03,1.087586665679295038e+03
1.365815695258430196e+03,1.088427248055400241e+03
1.360886859567419378e+03,1.089267830431505445e+03
1.355958023876408561e+03,1.090108412807610648e+03
1.351029188185397743e+03,1.090948995183715851e+03
1.346100352494386925e+03,1.091789577559821055e+03
1.341171516803376107e+03,1.092630159935926258e+03
1.336242681112365290e+03,1.093470742312031462e+03
1.331313845421354472e+03,1.094311324688136665e+03
1.326385009730343654e+03,1.095151907064241868e+03
1.321456174039332836e+03,1.095992489440347072e+03
1.316527338348322019e+03,1.096833071816452275e+03
1.311598502657311201e+03,1.097673654192557478e+03
1.306669666966300383e+03,1.098514236568662682e+03
1.301740831275289565e+03,1.099354818944767885e+03
1.296811995584278748e+03,1.100195401320873088e+03
1.291883159893267930e+03,1.101035983696978292e+03
1.286954324202257112e+03,1.101876566073083495e+03
1.282025488511246294e+03,1.102717148449188699e+03
1.277096652820235477e+03,1.103557730825293902e+03
1.272167817129224659e+03,1.104398313201399105e+03
1.267238981438213841e+03,1.105238895577504309e+03
1.262310145747203023e+03,1.106079477953609512e+03
1.257381310056192206e+03,1.106920060329714715e+03
1.252452474365181388e+03,1.107760642705819919e+03
1.247523638674170570e+03,1.108601225081925122e+03
1.242594802983159752e+03,1.109441807458030326e+03
1.237665967292148935e+03,1.110282389834135529e+03
1.232737131601138117e+03,1.111122972210240732e+03
1.227808295910127299e+03,1.111963554586345936e+03
1.222879460219116481e+03,1.112804136962451139e+03
1.217950624528105664e+03,1.113644719338556342e+03
1.213021788837094846e+03,1.114485301714661546e+03
1.107757781316119235e+03,1.662198017003963287e+03
1.111434300085784571e+03,1.665586705501936876e+03
1.115110818855449907e+03,1.668975393999910466e+03
1.118787337625115242e+03,1.672364082497884056e+03
1.122463856394780578e+03,1.675752770995857645e+03
1.126140375164445913e+03,1.679141459493831235e+03
1.129816893934111249e+03,1.682530147991804824e+03
1.133493412703776585e+03,1.685918836489778414e+03
1.137169931473441920e+03,1.689307524987752004e+03
1.140846450243107256e+03,1.692696213485725593e+03
1.144522969012772592e+03,1.696084901983699183e+03
1.148199487782437927e+03,1.699473590481672773e+03
1.151876006552103263e+03,1.702862278979646362e+03
1.155552525321768599e+03,1.706250967477619952e+03
1.159229044091433934e+03,1.709639655975593541e+03
1.162905562861099270e+03,1.713028344473567131e+03
1.166582081630764606e+03,1.716417032971540721e+03
1.170258600400429941e+03,1.719805721469514310e+03
