x,y
1.091318293609713692e+03,1.434080195592542850e+03
1.109926179964447329e+03,1.441411400500968057e+03
1.129908450062281418e+03,1.442253351649910201e+03
1.147634579166759067e+03,1.432991367684722491e+03
1.164899927637970677e+03,1.422896431222929778e+03
5.421039814877623257e+02,9.802826543088453946e+02
5.359814505678315300e+02,9.612428377358189664e+02
5.326308866010483598e+02,9.415254920446643609e+02
5.302223067697293573e+02,9.216710531657596448e+02
5.325624824016502998e+02,9.018084355635461407e+02
5.358451088071158210e+02,8.820796656099442998e+02
5.324945448403326509e+02,8.623623199187896944e+02
5.319841556468321642e+02,8.423688334076491628e+02
5.305230161589763611e+02,8.224222780309173686e+02
5.209078183699788269e+02,8.048852323424766837e+02
5.175572544031956568e+02,7.851678866513220783e+02
5.096525971486497042e+02,7.667962674061886901e+02
5.100941144451862783e+02,7.468011414381719533e+02
5.204740426242055946e+02,7.297056130462677856e+02
5.358744829045535880e+02,7.169452666884515111e+02
5.428314822378919189e+02,6.981942624413203475e+02
5.506728103563791592e+02,6.797955240786438935e+02
5.654486454351776956e+02,6.663168484120902804e+02
5.829856911236184942e+02,6.567016506230928599e+02
5.977615262024170306e+02,6.432229749565392467e+02
6.038184369095090460e+02,6.241621818805333533e+02
6.071010633149745672e+02,6.044334119269315124e+02
6.113187042893720218e+02,5.848831816313293075e+02
6.164618055193577675e+02,5.655557785533645756e+02
6.112521602997780974e+02,5.462462058836727010e+02
6.163952615297638431e+02,5.269188028057079691e+02
6.224521722368558585e+02,5.078580097297020757e+02
6.328321004158751748e+02,4.907624813377979081e+02
6.493757543461900923e+02,4.795238197344762625e+02
6.653659128775474301e+02,4.675107089740587867e+02
6.780731357126149987e+02,4.520664062115532715e+02
6.928489707914135352e+02,4.385877305449996015e+02
6.989058814985055506e+02,4.195269374689937081e+02
7.136817165773040870e+02,4.060482618024400381e+02
7.302253705076190045e+02,3.948096001991183925e+02
7.436530698832905273e+02,3.799874246004894189e+02
7.620246891284239155e+02,3.720827673459434664e+02
7.780148476597812532e+02,3.600696565855259905e+02
7.963864669049146414e+02,3.521649993309800379e+02
8.161038125960692469e+02,3.488144353641968110e+02
8.326474665263841644e+02,3.375757737608751654e+02
8.430273947054034807e+02,3.204802453689709978e+02
8.508687228238907210e+02,3.020815070062945438e+02
8.642964221995622438e+02,2.872593314076655702e+02
8.818334678880030424e+02,2.776441336186680928e+02
9.005603970559741356e+02,2.706225865001339344e+02
9.146781549143590837e+02,2.564561150604278055e+02
9.266361152620266921e+02,2.404246714472153883e+02
9.289762908939476347e+02,2.205620538450018557e+02
9.409342512416152431e+02,2.045306102317894386e+02
7.112786701474997244e+02,9.879920802519770859e+02
6.971563146192195290e+02,9.738301921598880426e+02
6.791787771878063040e+02,9.650661663781975221e+02
6.637741957310579437e+02,9.523108196505540946e+02
6.467111355953027214e+02,9.418776044795915823e+02
6.355241443730584479e+02,9.252989667975192560e+02
6.235609808747709621e+02,9.092714055634062333e+02
6.108487455135237951e+02,8.938312283584562010e+02
6.075597153542719298e+02,8.741035249794125548e+02
6.145751833720684090e+02,8.553743176152106571e+02
6.224738768123771706e+02,8.370001334990104169e+02
6.294893448301736498e+02,8.182709261348085192e+02
6.390988496160417753e+02,8.007307602926513255e+02
6.511067693640646894e+02,7.847367031674237978e+02
6.638621160917081170e+02,7.693321217106754375e+02
6.809542742751366404e+02,7.589466448977093478e+02
6.951161623672256837e+02,7.448242893694291524e+02
7.138649073958177951e+02,7.378612038570400955e+02
7.322610995068242801e+02,7.300139039510249859e+02
7.522121165107590741e+02,7.286150042016840871e+02
7.722070981095932893e+02,7.281669965429554168e+02
7.909558431381854007e+02,7.212039110305663598e+02
8.093520352491918857e+02,7.133566111245512502e+02
8.290797386282355319e+02,7.100675809652993848e+02
8.489415955668317793e+02,7.077209580832121674e+02
